team1,team2,toss_winner,toss_loser,toss_winner_decision,toss_loser_decision,match_winner,venue,weather,id
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Rajasthan Royals,Dr DY Patil Sports Academy,Dry,87
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Field,Bat,Mumbai Indians,Newlands,Dry,88
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,Bat,Field,Royal Challengers Bangalore,Newlands,Dry,89
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Field,Bat,Delhi Daredevils,Newlands,Humid,90
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Chennai Super Kings,St George's Park,Dry,91
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Kings XI Punjab,Field,Bat,Kolkata Knight Riders,Kingsmead,Dry,92
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Bat,Field,Delhi Daredevils,Kingsmead,Humid,93
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Rajasthan Royals,Newlands,Dry,94
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Field,Kings XI Punjab,Kingsmead,Humid,95
Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Bat,Field,Delhi Daredevils,St George's Park,Dry,96
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Bat,Field,Kings XI Punjab,Newlands,Dry,97
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Field,Mumbai Indians,St George's Park,Dry,98
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Rajasthan Royals,SuperSport Park,Humid,99
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Kingsmead,Dry,100
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Field,Kings XI Punjab,Kingsmead,Dry,101
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Field,Bat,Chennai Super Kings,SuperSport Park,Dry,102
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Bat,Field,Mumbai Indians,Buffalo Park,Dry,103
Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Field,Royal Challengers Bangalore,Kingsmead,Humid,104
Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,Chennai Super Kings,Field,Bat,Chennai Super Kings,New Wanderers Stadium,Dry,105
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Bat,Field,Kings XI Punjab,St George's Park,Dry,106
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,New Wanderers Stadium,Dry,107
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Field,Bat,Rajasthan Royals,Kingsmead,Dry,108
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,Bat,Field,Delhi Daredevils,Kingsmead,Dry,109
Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Field,Bat,Rajasthan Royals,SuperSport Park,Humid,110
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,SuperSport Park,Dry,111
Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Bat,Field,Delhi Daredevils,Buffalo Park,Dry,112
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Field,Chennai Super Kings,De Beers Diamond Oval,Dry,113
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Bat,Field,Mumbai Indians,St George's Park,Humid,114
Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Field,Bat,Delhi Daredevils,New Wanderers Stadium,Dry,115
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Field,Bat,Royal Challengers Bangalore,SuperSport Park,Dry,116
Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Bat,Field,Mumbai Indians,SuperSport Park,Dry,117
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,Kingsmead,Dry,118
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Field,Rajasthan Royals,Kingsmead,Humid,119
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Field,Bat,Kings XI Punjab,OUTsurance Oval,Dry,120
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Field,Chennai Super Kings,St George's Park,Dry,121
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Field,Delhi Daredevils,OUTsurance Oval,Dry,122
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Bat,Field,Kolkata Knight Riders,SuperSport Park,Dry,123
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Bat,Field,Royal Challengers Bangalore,New Wanderers Stadium,Dry,124
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Field,Bat,Kolkata Knight Riders,Kingsmead,Humid,125
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Bat,Field,Chennai Super Kings,Kingsmead,Dry,126
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Field,Bat,Delhi Daredevils,SuperSport Park,Dry,127
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Field,Bat,Royal Challengers Bangalore,New Wanderers Stadium,Sunny,128
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat,Field,Mumbai Indians,Brabourne Stadium,Sunny,129
