bowler,id,econ,wickets,matches,count,balls_per_wicket,SR
MJ Henry,1,2.290322581,1,2,31,31,71
J Searles,2,2.044444444,2,3,45,22.5,46
KM Asif,3,2.026315789,3,2,38,12.66666667,25.66666667
V Chakravarthy,4,1.944444444,1,1,18,18,35
MK Tiwary,5,1.911111111,1,6,45,45,86
T Curran,6,1.890625,6,5,64,10.66666667,20.16666667
LMP Simmons,7,1.888888889,1,1,18,18,34
CL White,8,1.869565217,1,6,46,46,86
B Geeves,9,1.857142857,1,2,49,49,91
P Amarnath,10,1.8515625,7,6,128,18.28571429,33.85714286
TP Sudhindra,11,1.851351351,1,3,74,74,137
P Raj,12,1.818181818,1,2,33,33,60
R Ninan,13,1.805555556,3,2,36,12,21.66666667
S Narwal,14,1.803571429,5,6,112,22.4,40.4
K Santokie,15,1.8,3,2,50,16.66666667,30
L Ferguson,16,1.79245283,2,5,106,53,95
A Uniyal,17,1.783783784,2,2,37,18.5,33
D Kalyankrishna,18,1.775510204,2,3,49,24.5,43.5
KJ Abbott,19,1.77,2,5,100,50,88.5
MA Khote,20,1.75862069,2,2,29,14.5,25.5
SS Agarwal,21,1.75,1,1,24,24,42
GS Sandhu,22,1.744680851,1,2,47,47,82
JJ van der Wath,23,1.743243243,3,3,74,24.66666667,43
Y Nagar,24,1.736111111,4,8,72,18,31.25
A Nel,25,1.722222222,1,1,18,18,31
L Ablish,26,1.704545455,3,3,44,14.66666667,25
A Joseph,27,1.703703704,6,3,54,9,15.33333333
Gagandeep Singh,28,1.698795181,3,4,83,27.66666667,47
CJ Anderson,29,1.69579288,11,22,309,28.09090909,47.63636364
S Vidyut,30,1.692307692,1,1,13,13,22
TM Head,31,1.6875,2,5,48,24,40.5
R Shukla,32,1.677419355,5,7,124,24.8,41.6
LJ Wright,33,1.675675676,2,6,74,37,62
V Shankar,34,1.673913043,2,10,92,46,77
SD Chitnis,35,1.666666667,2,2,36,18,30
AA Noffke,36,1.666666667,1,1,24,24,40
JDS Neesham,37,1.654545455,1,4,55,55,91
Avesh Khan,38,1.651898734,5,8,158,31.6,52.2
H Viljoen,39,1.647887324,7,6,142,20.28571429,33.42857143
RG More,40,1.638888889,1,2,36,36,59
B Laughlin,41,1.638418079,10,9,177,17.7,29
K Khejroliya,42,1.632653061,3,5,98,32.66666667,53.33333333
R Sathish,43,1.622377622,3,14,143,47.66666667,77.33333333
S Curran,44,1.619512195,10,9,205,20.5,33.2
A Flintoff,45,1.606060606,2,3,66,33,53
Basil Thampi,46,1.60591133,16,19,406,25.375,40.75
S Mavi,47,1.602272727,5,9,176,35.2,56.4
D Willey,48,1.6,2,3,60,30,48
S Ladda,49,1.6,5,9,140,28,44.8
AF Milne,50,1.598214286,4,5,112,28,44.75
T Shamsi,51,1.591397849,3,4,93,31,49.33333333
Jaskaran Singh,52,1.583333333,6,7,108,18,28.5
D Salunkhe,53,1.58,1,5,50,50,79
KC Cariappa,54,1.565022422,8,11,223,27.875,43.625
