team1,team2,toss_winner,toss_decision,match_winner,venue,weather,win_by_runs,win_by_wickets,id
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Eden Gardens,Sunny,0,5,604
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Sunny,39,0,605
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Humid,0,5,606
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Field,Kings XI Punjab,IS Bindra Stadium,Dry,12,0,607
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Bat,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,0,6,608
Mumbai Indians,Delhi Capitals,Mumbai Indians,Bat,Mumbai Indians,Feroz Shah Kotla Ground,Humid,40,0,609
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Royal Challengers Bangalore,Eden Gardens,Dry,10,0,610
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,5,611
Kings XI Punjab,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Feroz Shah Kotla Ground,Sunny,0,5,612
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Humid,0,9,613
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Field,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Dry,1,0,614
Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Sawai Mansingh Stadium,Humid,0,6,615
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Dry,0,6,616
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,Field,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sunny,17,0,617
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Eden Gardens,Sunny,0,3,618
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,M. A. Chidambaram Stadium,Sunny,46,0,619
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Sawai Mansingh Stadium,Sunny,0,7,620
Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Bat,Delhi Capitals,Feroz Shah Kotla Ground,Humid,16,0,621
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Kolkata Knight Riders,Eden Gardens,Dry,34,0,622
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,Field,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Sunny,45,0,623
Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,Chennai Super Kings,M. A. Chidambaram Stadium,Sunny,80,0,624
Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Bat,Mumbai Indians,Wankhede Stadium,Sunny,0,0,625
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,IS Bindra Stadium,Humid,0,7,626
Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Bat,Delhi Capitals,Feroz Shah Kotla Ground,Dry,0,5,627
Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sunny,0,4,628
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field,Kings XI Punjab,IS Bindra Stadium,Sunny,0,6,629
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Wankhede Stadium,Humid,0,9,630
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Bat,Mumbai Indians,M. A. Chidambaram Stadium,Dry,0,6,631
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,ACA-VDCA Stadium,Humid,0,2,632
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,ACA-VDCA Stadium,Dry,0,6,633
Mumbai Indians,Chennai Super Kings,Mumbai Indians,Bat,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Dry,1,0,634
